mae,rmse,wape,smape,bias,r2,mae_unidades,wape_unidades,error_abs_total_unidades,bias_unidades,n,target,fold,candidate_id,modelo,familia,feature_set,target_transform,tiempo_entrenamiento_seg,median_ae,spearman,sign_accuracy,precision_roi_positivo,recall_roi_positivo,f1_roi_positivo,precision_roi_negativo,recall_roi_negativo,f1_roi_negativo,falsos_positivos,falsos_negativos,false_positive_rate
0.14166425351397965,0.17543163948164095,0.30319160575768694,0.3752726895954212,-0.010220624728737695,0.5434208622748593,585.6832136339714,0.3086341651421722,197375.24299464835,-66.35182606988785,337,uplift_real,2,uplift_real__extra_trees__temporal_weekly__original__max_depth14_max_features1.0_min_samples_leaf8_n_estimators220,extra_trees,extra_trees,temporal_weekly,original,0.396047999999837,,,,,,,,,,,,
0.14010203257270945,0.17356118822757977,0.31748661449344967,0.3829632147877696,0.006193965940441833,0.4260698834334059,594.4123667620541,0.33156422871973407,196156.08103147786,60.21540544895302,330,uplift_real,3,uplift_real__extra_trees__temporal_weekly__original__max_depth14_max_features1.0_min_samples_leaf8_n_estimators220,extra_trees,extra_trees,temporal_weekly,original,0.5310802999999851,,,,,,,,,,,,
0.14289667587031463,0.17784288788770727,0.33157274357227046,0.4082261492720931,0.0035497111234846007,0.44310567853606153,622.999824698888,0.3477265073687122,221787.93759280414,46.01835855541874,356,uplift_real,4,uplift_real__extra_trees__temporal_weekly__original__max_depth14_max_features1.0_min_samples_leaf8_n_estimators220,extra_trees,extra_trees,temporal_weekly,original,0.6839714999998705,,,,,,,,,,,,
0.23847204597070648,0.516400505656552,,,0.07791632869716385,0.7760022445953675,,,,,301,roi,1,roi__ridge__nonlinear__original__alpha1.0,ridge,ridge,nonlinear,original,0.01892120000002251,0.14509478298787812,0.9658323348863546,0.9568106312292359,0.9378531073446328,0.9880952380952381,0.9623188405797102,0.9838709677419355,0.9172932330827067,0.9494163424124513,11.0,2.0,0.036544850498338874
0.21386938683786608,0.650194012387467,,,-0.0165369510896953,0.7097624546546122,,,,,337,roi,2,roi__ridge__nonlinear__original__alpha1.0,ridge,ridge,nonlinear,original,0.019753499999978885,0.1263985287498337,0.9688473425143244,0.9495548961424333,0.9787234042553191,0.9435897435897436,0.9608355091383812,0.912751677852349,0.9714285714285714,0.9411764705882353,4.0,11.0,0.011869436201780416
0.2625283422364761,1.2651745356192499,,,0.000772240475151493,0.38383059087887894,,,,,330,roi,3,roi__ridge__nonlinear__original__alpha1.0,ridge,ridge,nonlinear,original,0.02036180000004606,0.13129460915525287,0.9627765999516351,0.9818181818181818,0.9948453608247423,0.9747474747474747,0.9846938775510204,0.9632352941176471,0.9924242424242424,0.9776119402985075,1.0,5.0,0.0030303030303030303
0.29365282041883295,1.4580172259410134,,,-0.06700773394243097,0.41475583472952926,,,,,356,roi,4,roi__ridge__nonlinear__original__alpha1.0,ridge,ridge,nonlinear,original,0.022179800000003524,0.13608410322316983,0.9649187809703209,0.9606741573033708,0.975609756097561,0.9569377990430622,0.966183574879227,0.9403973509933775,0.9659863945578231,0.9530201342281879,5.0,9.0,0.014044943820224719
0.3333454913860398,0.594953759745187,,,0.0951045465658932,0.702671338727838,,,,,301,roi,1,roi__ridge__nonlinear__original__alpha10.0,ridge,ridge,nonlinear,original,0.018875900000011825,0.23677414395687704,0.9699929385904855,0.9036544850498339,0.8527918781725888,1.0,0.9205479452054794,1.0,0.7819548872180451,0.8776371308016878,29.0,0.0,0.09634551495016612
0.25724195617185175,0.6871761188104526,,,-0.010098648390086992,0.6758068925431644,,,,,337,roi,2,roi__ridge__nonlinear__original__alpha10.0,ridge,ridge,nonlinear,original,0.019896600000038234,0.16233615139500635,0.9755160587478512,0.9406528189910979,0.9107981220657277,0.9948717948717949,0.9509803921568627,0.9919354838709677,0.8785714285714286,0.9318181818181818,17.0,1.0,0.050445103857566766
0.28369917810185474,1.2749662212239117,,,0.01424812970605262,0.37425612640344574,,,,,330,roi,3,roi__ridge__nonlinear__original__alpha10.0,ridge,ridge,nonlinear,original,0.020668399999976828,0.14093176263533544,0.9680922488516179,0.9696969696969697,0.9563106796116505,0.9949494949494949,0.9752475247524752,0.9919354838709677,0.9318181818181818,0.9609375,9.0,1.0,0.02727272727272727
0.30970980005309007,1.4860987075411813,,,-0.0742460735607759,0.3919950774271348,,,,,356,roi,4,roi__ridge__nonlinear__original__alpha10.0,ridge,ridge,nonlinear,original,0.019853399999874455,0.1317119081133643,0.9697949257501447,0.949438202247191,0.9282511210762332,0.9904306220095693,0.9583333333333334,0.9849624060150376,0.891156462585034,0.9357142857142857,16.0,2.0,0.0449438202247191
0.4107382344845544,0.670314281040525,,,0.12596624737299414,0.6225779293096938,,,,,301,roi,1,roi__ridge__nonlinear__original__alpha100.0,ridge,ridge,nonlinear,original,0.01884569999992891,0.3434183511301282,0.9765601358068206,0.8471760797342193,0.7850467289719626,1.0,0.8795811518324608,1.0,0.6541353383458647,0.7909090909090909,46.0,0.0,0.15282392026578073
0.36861010519667586,0.7704115677148549,,,0.0006363238535969557,0.5925134757454734,,,,,337,roi,2,roi__ridge__nonlinear__original__alpha100.0,ridge,ridge,nonlinear,original,0.01921589999983553,0.2777841581283362,0.9780321324444418,0.8694362017804155,0.8185654008438819,0.9948717948717949,0.8981481481481481,0.99,0.7071428571428572,0.825,41.0,1.0,0.12166172106824925
0.38617973504830866,1.307482515793468,,,0.02468753759393501,0.34193161215850565,,,,,330,roi,3,roi__ridge__nonlinear__original__alpha100.0,ridge,ridge,nonlinear,original,0.0203894000001128,0.2601113575771058,0.9697036232755188,0.9,0.8602620087336245,0.9949494949494949,0.9227166276346604,0.9900990099009901,0.7575757575757576,0.8583690987124464,32.0,1.0,0.09696969696969697
