candidate_id,mae,rmse,wape,smape,bias,r2,mae_unidades,wape_unidades,error_abs_total_unidades,bias_unidades,n,segmento,valor_segmento,target,median_ae,spearman,sign_accuracy,precision_roi_positivo,recall_roi_positivo,f1_roi_positivo,precision_roi_negativo,recall_roi_negativo,f1_roi_negativo,falsos_positivos,falsos_negativos,false_positive_rate
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.16028601323360783,0.1982398094534993,0.27158095265495014,0.34239528222250604,-0.03161315052520103,0.5129981898715206,815.486693261164,0.272129400569977,83179.64271263873,-109.3542511657031,102,id_material,PD011,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.14975771112947434,0.1813950506028412,0.48790362000786963,0.5425586367844246,0.05318639719581991,0.1369673916699563,900.1388045801527,0.5192579915969403,91814.15806717558,373.6085548895068,102,id_material,PD012,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.1276075453815399,0.1600256648932103,0.3775800819301283,0.4410823038171557,0.04200486567322081,0.20224825326708562,665.7714079655723,0.37415957521992904,69240.22642841951,232.63008890783942,104,id_material,PD013,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.18943284588648907,0.2336898514613194,0.7571256829995566,0.6554255266409825,0.11850591076932332,-0.5367711839437213,1294.6401996093875,0.8411221421667492,19419.602994140812,974.8417139844285,15,id_material,PD014,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.17614748184618137,0.20868021175380788,0.8092533622336051,0.7214935290154662,0.1228709511252169,-1.6120796366301011,917.0728927212025,0.8458441520623075,13756.093390818038,690.9760824882767,15,id_material,PD015,uplift_real,,,,,,,,,,,,
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.039095054670771776,0.22181943077230998,,,-0.02741474517582015,0.9590861713982177,,,,,96,id_material,PD001,roi,0.0065889203153314466,0.9996981682512858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.12373571451506613,0.7354606082224838,,,0.11740247924805763,0.6182703690051172,,,,,91,id_material,PD002,roi,0.004869256624278395,0.9227449036609559,0.967032967032967,0.9464285714285714,1.0,0.9724770642201835,1.0,0.9459459459459459,0.9722222222222222,2.0,0.0,0.02197802197802198
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.07756041723265938,0.6339350169987151,,,0.06611193952376172,0.688164750240056,,,,,94,id_material,PD003,roi,0.006227518894353801,0.9983093475573205,0.9893617021276596,0.9803921568627451,1.0,0.9900990099009901,1.0,0.9772727272727273,0.9885057471264368,1.0,0.0,0.010638297872340425
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.27048016845927264,2.0289582266880513,,,-0.1947890840945556,0.31171860041076205,,,,,107,id_material,PD004,roi,0.0064867146137264076,0.9896642610797728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.08143764490977569,0.4268602058806058,,,-0.06277532196900339,0.8401207983690939,,,,,103,id_material,PD005,roi,0.005910226032172283,0.9505712844750385,0.9805825242718447,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.975,1.0,0.9873417721518988,0.0,1.0,0.0
